                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     91,               0.013876,               0.011373,              0.0023122,             0.00026214,                0.88139,                0.91693,                0.95061,                0.67372,                0.88134,                0.91697,                0.95077,                0.64945,               0.014551,               0.012319,              0.0042864,             0.00074104,                0.00109,                0.00109,                0.00109
                     92,               0.013803,               0.011334,              0.0023089,             0.00029981,                0.88464,                0.92019,                 0.9492,                0.67439,                0.88353,                0.91831,                0.94965,                0.65011,               0.014421,               0.012285,              0.0042861,             0.00075321,               0.000991,               0.000991,               0.000991
                     93,               0.013622,                0.01136,              0.0022907,             0.00041075,                0.89411,                0.90776,                0.94998,                0.67492,                0.89072,                 0.9044,                   0.95,                0.65055,               0.014506,               0.012274,              0.0043079,             0.00069148,               0.000892,               0.000892,               0.000892
                     94,               0.013332,               0.011165,              0.0022616,             0.00022088,                0.89612,                0.90256,                0.94929,                0.67356,                0.89821,                0.90478,                0.95006,                0.64894,                0.01461,                0.01231,              0.0043241,              0.0006752,               0.000793,               0.000793,               0.000793
                     95,                0.01342,               0.011165,              0.0022861,             0.00021702,                0.87364,                0.92151,                0.95282,                0.67638,                 0.8911,                0.90437,                0.95384,                0.65081,                0.01452,               0.012357,               0.004326,             0.00064949,               0.000694,               0.000694,               0.000694
                     96,                0.01318,               0.011109,              0.0022647,             0.00022409,                0.88824,                0.90819,                0.95266,                 0.6738,                0.88997,                0.90919,                0.95436,                0.65094,               0.014566,               0.012365,              0.0043084,             0.00068189,               0.000595,               0.000595,               0.000595
                     97,               0.013241,               0.011179,              0.0022623,             0.00020326,                0.89329,                0.90594,                0.95183,                0.67681,                 0.8955,                0.90711,                0.95283,                0.64934,               0.014617,               0.012411,              0.0043223,             0.00071371,               0.000496,               0.000496,               0.000496
                     98,               0.013165,               0.011248,              0.0022427,             0.00027196,                0.89909,                0.89355,                0.95001,                0.67576,                0.90335,                0.89651,                0.95144,                0.64828,               0.014526,               0.012374,              0.0043282,             0.00073284,               0.000397,               0.000397,               0.000397
                     99,               0.013008,               0.010972,              0.0022394,             0.00018742,                0.88712,                0.89896,                0.94973,                 0.6743,                 0.8893,                0.89933,                0.94918,                0.64951,               0.014486,               0.012355,              0.0043399,             0.00071386,               0.000298,               0.000298,               0.000298
                    100,                0.89207,                0.90741,                0.95263,                0.67669,                 0.8931,                0.91006,                0.95385,                0.65495,               0.014461,               0.012262,              0.0042956,             0.00050678
